trial_number,value,adx_threshold,irg_threshold,min_momentum_pct,momentum_days,volume_factor,sl_mult,tp_mult,allow_partial_signals,require_macd,require_ma50,require_rsi_gt,sharpe_mean,max_drawdown_mean,trades,total_return_mean,params
67,-0.884915987941453,12,0.75,0.015,3,1.25,2.9000000000000004,5.7,0,1,1,21,-1.3065121042850132,0.11438180243547327,624,0.021109879061414302,"{'adx_threshold': 12.0, 'irg_threshold': 0.75, 'min_momentum_pct': 0.015, 'momentum_days': 3, 'volume_factor': 1.25, 'sl_mult': 2.9000000000000004, 'tp_mult': 5.7, 'allow_partial_signals': 0.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 21.0}"
68,2.452827685951857,13,0.7,0.019,3,1.0,2.7,1.6,0,1,1,47,2.807184748199934,0.13370569227573909,960,0.053084698328974035,"{'adx_threshold': 13.0, 'irg_threshold': 0.7, 'min_momentum_pct': 0.019, 'momentum_days': 3, 'volume_factor': 1.0, 'sl_mult': 2.7, 'tp_mult': 1.6, 'allow_partial_signals': 0.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 47.0}"
69,-0.7272616459645616,13,0.4,0.019,3,1.05,2.7,4.5,0,1,0,45,-1.1188021098055778,0.13161197487668938,797,0.03500224520799153,"{'adx_threshold': 13.0, 'irg_threshold': 0.4, 'min_momentum_pct': 0.019, 'momentum_days': 3, 'volume_factor': 1.05, 'sl_mult': 2.7, 'tp_mult': 4.5, 'allow_partial_signals': 0.0, 'require_macd': 1.0, 'require_ma50': 0.0, 'require_rsi_gt': 45.0}"
70,4.698023083133755,13,0.65,0.012,3,1.55,2.6,2.0,0,1,1,49,5.619102144177105,0.08431758660896553,444,0.01818563902293429,"{'adx_threshold': 13.0, 'irg_threshold': 0.65, 'min_momentum_pct': 0.012, 'momentum_days': 3, 'volume_factor': 1.55, 'sl_mult': 2.6, 'tp_mult': 2.0, 'allow_partial_signals': 0.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 49.0}"
71,4.496793448208697,13,0.65,0.012,3,1.6,2.6,1.6,0,1,1,48,5.3619802229674836,0.08200494069833918,425,0.010851232075063947,"{'adx_threshold': 13.0, 'irg_threshold': 0.65, 'min_momentum_pct': 0.012, 'momentum_days': 3, 'volume_factor': 1.6, 'sl_mult': 2.6, 'tp_mult': 1.6, 'allow_partial_signals': 0.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 48.0}"
72,8.063064356071003,14,0.65,0.012,3,1.55,2.5,1.6,0,1,1,50,9.819663629627717,0.0850197629399588,442,0.014925997963491677,"{'adx_threshold': 14.0, 'irg_threshold': 0.65, 'min_momentum_pct': 0.012, 'momentum_days': 3, 'volume_factor': 1.55, 'sl_mult': 2.5, 'tp_mult': 1.6, 'allow_partial_signals': 0.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 50.0}"
73,4.631499820260357,14,0.65,0.01,3,1.55,2.5,2.0,0,1,1,50,5.53961539115051,0.08293519906694398,437,0.01594740051183048,"{'adx_threshold': 14.0, 'irg_threshold': 0.65, 'min_momentum_pct': 0.01, 'momentum_days': 3, 'volume_factor': 1.55, 'sl_mult': 2.5, 'tp_mult': 2.0, 'allow_partial_signals': 0.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 50.0}"
74,0.950575805433859,14,0.65,0.012,3,1.55,2.4000000000000004,2.1,0,1,1,49,0.9380827924787419,0.0826576010875396,435,0.016981598645561525,"{'adx_threshold': 14.0, 'irg_threshold': 0.65, 'min_momentum_pct': 0.012, 'momentum_days': 3, 'volume_factor': 1.55, 'sl_mult': 2.4000000000000004, 'tp_mult': 2.1, 'allow_partial_signals': 0.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 49.0}"
75,5.107125121303555,12,0.5,0.01,3,1.55,2.3,2.0,0,1,1,50,6.132385588058903,0.0848793950599253,456,0.018537916050720592,"{'adx_threshold': 12.0, 'irg_threshold': 0.5, 'min_momentum_pct': 0.01, 'momentum_days': 3, 'volume_factor': 1.55, 'sl_mult': 2.3, 'tp_mult': 2.0, 'allow_partial_signals': 0.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 50.0}"
76,4.599171274349715,14,0.5,0.01,3,1.55,2.3,2.0,0,1,1,50,5.49990014527524,0.08206426041264703,438,0.016852615092952997,"{'adx_threshold': 14.0, 'irg_threshold': 0.5, 'min_momentum_pct': 0.01, 'momentum_days': 3, 'volume_factor': 1.55, 'sl_mult': 2.3, 'tp_mult': 2.0, 'allow_partial_signals': 0.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 50.0}"
77,4.599171274349715,14,0.5,0.01,3,1.55,2.3,2.0,0,1,1,50,5.49990014527524,0.08206426041264703,438,0.016852615092952997,"{'adx_threshold': 14.0, 'irg_threshold': 0.5, 'min_momentum_pct': 0.01, 'momentum_days': 3, 'volume_factor': 1.55, 'sl_mult': 2.3, 'tp_mult': 2.0, 'allow_partial_signals': 0.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 50.0}"
78,-0.4309128412152001,14,0.5,0.008,3,1.55,2.3,2.4,0,1,1,50,-0.7697704143934836,0.0831781199745119,436,0.012588140062071679,"{'adx_threshold': 14.0, 'irg_threshold': 0.5, 'min_momentum_pct': 0.008, 'momentum_days': 3, 'volume_factor': 1.55, 'sl_mult': 2.3, 'tp_mult': 2.4, 'allow_partial_signals': 0.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 50.0}"
79,-1.1027066778462515,14,0.35,0.01,3,1.6,2.1,2.2,0,1,1,48,-1.6013526098605726,0.0804865142512752,413,0.006750185072897049,"{'adx_threshold': 14.0, 'irg_threshold': 0.35, 'min_momentum_pct': 0.01, 'momentum_days': 3, 'volume_factor': 1.6, 'sl_mult': 2.1, 'tp_mult': 2.2, 'allow_partial_signals': 0.0, 'require_macd': 1.0, 'require_ma50': 1.0, 'require_rsi_gt': 48.0}"
